Número de informe,Nombre de la Evaluación,Etapa,Componente ambiental,Procedencia de la Muestra,Procedencia Especifica de la Muestra,Nombre del punto,Este,Norte,Altitud,Zona,Datum,Descripción de ubicación,Tipo de muestra,Tipo de análisis,Fecha,Hora,Valor,Parámetro,Unidad de medida
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Agua,Agua salina,Agua de mar,F05898_AG02,468462,9507741,0,17,WGS 84,Muestra puntual de agua de mar tomada a 6m en dirección norte del pozo y ubicado en la zona intermareal.,Simple,Metales totales,6/10/2019,9:21:00 AM,<0.00006,Plomo,mg/L
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Agua,Agua salina,Agua de mar,F05898_AG02,468462,9507741,0,17,WGS 84,Muestra puntual de agua de mar tomada a 6m en dirección norte del pozo y ubicado en la zona intermareal.,Simple,Metales totales,6/10/2019,9:21:00 AM,641,Potasio,mg/L
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Agua,Agua salina,Agua de mar,F05898_AG02,468462,9507741,0,17,WGS 84,Muestra puntual de agua de mar tomada a 6m en dirección norte del pozo y ubicado en la zona intermareal.,Simple,Metales totales,6/10/2019,9:21:00 AM,"0,00215",Selenio,mg/L
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Agua,Agua salina,Agua de mar,F05898_AG02,468462,9507741,0,17,WGS 84,Muestra puntual de agua de mar tomada a 6m en dirección norte del pozo y ubicado en la zona intermareal.,Simple,Metales totales,6/10/2019,9:21:00 AM,13121,Sodio,mg/L
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Agua,Agua salina,Agua de mar,F05898_AG02,468462,9507741,0,17,WGS 84,Muestra puntual de agua de mar tomada a 6m en dirección norte del pozo y ubicado en la zona intermareal.,Simple,Metales totales,6/10/2019,9:21:00 AM,<0.00001,Talio,mg/L
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Agua,Agua salina,Agua de mar,F05898_AG02,468462,9507741,0,17,WGS 84,Muestra puntual de agua de mar tomada a 6m en dirección norte del pozo y ubicado en la zona intermareal.,Simple,Metales totales,6/10/2019,9:21:00 AM,"0,0285",Titanio,mg/L
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Agua,Agua salina,Agua de mar,F05898_AG02,468462,9507741,0,17,WGS 84,Muestra puntual de agua de mar tomada a 6m en dirección norte del pozo y ubicado en la zona intermareal.,Simple,Metales totales,6/10/2019,9:21:00 AM,<0.00001,Torio,mg/L
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Agua,Agua salina,Agua de mar,F05898_AG02,468462,9507741,0,17,WGS 84,Muestra puntual de agua de mar tomada a 6m en dirección norte del pozo y ubicado en la zona intermareal.,Simple,Metales totales,6/10/2019,9:21:00 AM,"0,00219",Uranio,mg/L
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Agua,Agua salina,Agua de mar,F05898_AG02,468462,9507741,0,17,WGS 84,Muestra puntual de agua de mar tomada a 6m en dirección norte del pozo y ubicado en la zona intermareal.,Simple,Metales totales,6/10/2019,9:21:00 AM,<0.006,Vanadio,mg/L
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Agua,Agua salina,Agua de mar,F05898_AG02,468462,9507741,0,17,WGS 84,Muestra puntual de agua de mar tomada a 6m en dirección norte del pozo y ubicado en la zona intermareal.,Simple,Metales totales,6/10/2019,9:21:00 AM,<0.00002,Wolframio,mg/L
INFORME N° 00580-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05898,Primer monitoreo,Agua,Agua salina,Agua de mar,F05898_AG02,468462,9507741,0,17,WGS 84,Muestra puntual de agua de mar tomada a 6m en dirección norte del pozo y ubicado en la zona intermareal.,Simple,Metales totales,6/10/2019,9:21:00 AM,"0,024",Zinc,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000013,Acenafteno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000013,Acenaftileno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000016,Antraceno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000009,Benzo (a) Antraceno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000013,Benzo (a) Pireno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000016,Benzo (b) Fluoranteno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000009,"Benzo (g,h,i) Perileno",mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000009,Benzo (k) Fluoranteno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000013,Criseno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000013,"Dibenzo (a,h) Antraceno",mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000016,Fenantreno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000016,Fluoranteno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000009,Fluoreno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000016,"Indeno (1,2,3 cd) Pireno",mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000009,Naftaleno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - PAHS,17/3/2019,11:48:00 AM,<0.000009,Pireno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Ensayo por cromatografía - HTP,17/3/2019,11:48:00 AM,<0.0008,Hidrocarburos totales de petróleo (C8-C40),mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,BTEX,17/3/2019,11:48:00 AM,<0.001,Benceno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,BTEX,17/3/2019,11:48:00 AM,<0.002,Tolueno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,BTEX,17/3/2019,11:48:00 AM,<0.002,Etilbenceno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,BTEX,17/3/2019,11:48:00 AM,<0.004,"m,p- Xileno",mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,BTEX,17/3/2019,11:48:00 AM,<0.002,o-Xileno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,BTEX,17/3/2019,11:48:00 AM,<0.006,Xilenos,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Fisico Químicos,17/3/2019,11:48:00 AM,<0.10,Aceites y grasas,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,<0.000003,Plata,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,694",Aluminio,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,00097",Arsénico,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,<0.002,Boro,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,0661",Bario,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,<0.00002,Berilio,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,<0.00002,Bismuto,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"18,81",Calcio,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,<0.00001,Cadmio,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,0005",Cobalto,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,0003",Cromo Total,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,0017",Cobre,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,8779",Hierro,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,<0.00003,Mercurio,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"2,09",Potasio,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,0013",Litio,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"1,515",Magnesio,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,0424",Manganeso,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,<0.00002,Molibdeno,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"55,41",Sodio,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,0007",Níquel,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,051",Fósforo,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,0006",Plomo,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,<0.00004,Antimonio,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,<0.0004,Selenio,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"11,9",Silicio,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,<0.00003,Estaño,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,072",Estroncio,mg/L
INFORME N° 00632-2019-OEFA/DEAM-SSIM,Identificación de Pasivo Ambiental del Subsector Hidrocarburos con código de Ficha F05689,Primer monitoreo,Agua,Agua natural superficial,Agua superficial de quebrada,F05689-AG01,178313,9521077,206,18,WGS 84,Punto ubicado en la quebrada Putuime a 10 m aguas arriba del afloramiento Putuime 1.,Simple,Metales totales,17/3/2019,11:48:00 AM,"0,0064",Titanio,mg/L
