Anio,NroMes,ubigeo,Departamento,Provincia,Distrito,Sexo,Etapa,GrupoTamizaje,DetalleTamizaje,Casos
2017,3,140204,LAMBAYEQUE,FERRE�AFE,MANUEL ANTONIO MESONES MURO,M,15 - 17,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,6
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,10 - 11,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,12 - 14,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,2
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,18 - 24,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,5
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,25 - 29,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,25 - 29,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,25 - 29,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,15
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,30 - 39,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,126
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,80  +,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,6
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,10 - 11,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,4
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,15 - 17,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,26
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,5
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,40 - 59,SOLO TAMIZAJES POSITIVOS,TRASTORNO DE CONSUMO DE TABACO,1
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,40 - 59,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,8
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,5 - 9,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,89
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,60 - 79,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,3
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,60 - 79,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,19
2017,3,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,< 1,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,148
2017,3,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,18 - 24,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,51
2017,3,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,5 - 9,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,31
2017,3,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,M,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,8
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,< 1,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,13
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,18 - 24,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,5 - 9,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,2
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,M,10 - 11,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,M,15 - 17,SOLO TAMIZAJES POSITIVOS,TRASTORNO DE CONSUMO DE ALCOHOL,1
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,M,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,5
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,M,40 - 59,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,1
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,M,60 - 79,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,7
2017,3,140304,LAMBAYEQUE,LAMBAYEQUE,JAYANCA,M,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,F,< 1,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,86
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,F,12 - 14,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,1
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,F,15 - 17,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,F,18 - 24,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,4
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,F,25 - 29,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,6
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,F,25 - 29,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,5
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,F,80  +,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,M,1 - 4,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,80
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,M,12 - 14,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,1
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,M,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,3
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,M,40 - 59,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,M,40 - 59,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,4
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,M,60 - 79,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,1
2017,3,140305,LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,M,60 - 79,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,3
2017,3,140308,LAMBAYEQUE,LAMBAYEQUE,OLMOS,F,10 - 11,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,3,140308,LAMBAYEQUE,LAMBAYEQUE,OLMOS,F,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,3
2017,3,140308,LAMBAYEQUE,LAMBAYEQUE,OLMOS,F,30 - 39,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,71
2017,3,140308,LAMBAYEQUE,LAMBAYEQUE,OLMOS,F,40 - 59,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,2
2017,3,140308,LAMBAYEQUE,LAMBAYEQUE,OLMOS,M,15 - 17,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,2
2017,3,140308,LAMBAYEQUE,LAMBAYEQUE,OLMOS,M,15 - 17,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,6
2017,3,140309,LAMBAYEQUE,LAMBAYEQUE,PACORA,F,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,3
2017,3,140310,LAMBAYEQUE,LAMBAYEQUE,SALAS,F,1 - 4,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,155
2017,3,140310,LAMBAYEQUE,LAMBAYEQUE,SALAS,F,10 - 11,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,1
2017,3,140310,LAMBAYEQUE,LAMBAYEQUE,SALAS,F,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,37
2017,3,140310,LAMBAYEQUE,LAMBAYEQUE,SALAS,F,18 - 24,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,5
2017,3,140310,LAMBAYEQUE,LAMBAYEQUE,SALAS,F,60 - 79,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,12
2017,3,140310,LAMBAYEQUE,LAMBAYEQUE,SALAS,M,60 - 79,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,12
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,22
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,12 - 14,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,13
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,12 - 14,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,7
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,29
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,18 - 24,SOLO TAMIZAJES POSITIVOS,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,25 - 29,SOLO TAMIZAJES POSITIVOS,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,25 - 29,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,23
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,50
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,40 - 59,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,62
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,F,80  +,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,4
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,12 - 14,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,2
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,25 - 29,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,2
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,30 - 39,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,7
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,30 - 39,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,13
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,40 - 59,SOLO TAMIZAJES POSITIVOS,TRASTORNO DE CONSUMO DE ALCOHOL,1
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,40 - 59,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,17
2017,3,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,M,80  +,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,1
2017,3,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,27
2017,3,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,18 - 24,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,46
2017,3,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,25 - 29,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,31
2017,3,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,53
2017,3,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,F,60 - 79,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,1
2017,3,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,18 - 24,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,1
2017,3,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,25 - 29,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,3
2017,3,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,30 - 39,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,21
2017,3,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,40 - 59,SOLO TAMIZAJES POSITIVOS,TRASTORNO DE CONSUMO DE ALCOHOL,1
2017,3,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,40 - 59,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,14
2017,3,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,M,80  +,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,2
2017,3,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,10 - 11,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,3,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,2
2017,3,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,18 - 24,SOLO TAMIZAJES POSITIVOS,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,3,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,18 - 24,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,16
2017,3,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,25 - 29,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,5
2017,3,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,10
2017,3,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,F,60 - 79,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,2
2017,3,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,10 - 11,SOLO TAMIZAJES POSITIVOS,TRASTORNO DEPRESIVO,2
2017,3,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,18 - 24,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,3,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,40 - 59,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,3
2017,3,140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,M,80  +,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,4
2017,3,140112,LAMBAYEQUE,CHICLAYO,PIMENTEL,M,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,3
2017,3,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,< 1,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,3,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,< 1,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,217
2017,3,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,15 - 17,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,2
2017,3,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,15 - 17,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,13
2017,3,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,40 - 59,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,7
2017,3,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,F,5 - 9,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,43
2017,3,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,8
2017,3,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,12 - 14,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,3
2017,3,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,3
2017,3,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,25 - 29,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,1
2017,3,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,3
2017,3,140201,LAMBAYEQUE,FERRE�AFE,FERRE�AFE,M,40 - 59,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,15 - 17,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,5
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,15 - 17,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,6
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,18 - 24,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,10
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,25 - 29,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,6
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,40 - 59,TOTAL DE TAMIZAJES,SINDROME Y/O TRASTORNO PSICOTICO,19
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,60 - 79,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,3
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,60 - 79,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,10
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,F,60 - 79,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,11
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,1 - 4,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,1
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,10 - 11,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,5
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,10 - 11,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,4
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,15 - 17,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,5
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,18 - 24,SOLO TAMIZAJES POSITIVOS,TRASTORNO DE CONSUMO DE ALCOHOL,1
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,18 - 24,SOLO TAMIZAJES POSITIVOS,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,2
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,18 - 24,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,7
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,18 - 24,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,16
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,25 - 29,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,11
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,60 - 79,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,12
2017,3,140202,LAMBAYEQUE,FERRE�AFE,CA�ARIS,M,80  +,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1
2017,3,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,F,15 - 17,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,15
2017,3,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,F,5 - 9,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,72
2017,3,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,M,< 1,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,154
2017,3,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,M,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,20
2017,3,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,M,12 - 14,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,1
2017,3,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,M,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,23
2017,3,140203,LAMBAYEQUE,FERRE�AFE,INCAHUASI,M,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,4
2017,3,140204,LAMBAYEQUE,FERRE�AFE,MANUEL ANTONIO MESONES MURO,F,80  +,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,1
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,< 1,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,157
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,12 - 14,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,2
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,30 - 39,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,2
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,F,40 - 59,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,2
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,40
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,40 - 59,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,51
2017,3,140205,LAMBAYEQUE,FERRE�AFE,PITIPO,M,80  +,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,1
2017,3,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,F,12 - 14,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,12
2017,3,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,M,60 - 79,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,6
2017,3,140206,LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,M,60 - 79,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,13
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,1 - 4,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,238
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,15 - 17,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,5
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,25 - 29,TOTAL DE TAMIZAJES,TRASTORNO DEPRESIVO,28
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,25 - 29,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,89
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,F,60 - 79,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,8
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,M,< 1,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,1
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,M,10 - 11,TOTAL DE TAMIZAJES,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,9
2017,3,140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,M,15 - 17,TOTAL DE TAMIZAJES,TRASTORNO DE CONSUMO DE ALCOHOL Y OTROS DROGAS,2
